GBIF_usageKey,model_class,level_class,level_order,level_family,level_genus,level_species
2439270,rat,class Mammalia,order Rodentia,family Muridae,genus Rattus,species Rattus rattus
7429082,mouse,class Mammalia,order Rodentia,family Muridae,genus Mus,species Mus musculus
2436436,human,class Mammalia,order Primates,family Hominidae,genus Homo,species Homo sapiens
2440886,horse,class Mammalia,order Perissodactyla,family Equidae,genus Equus,species Equus caballus
2436940,rabbit,class Mammalia,order Lagomorpha,family Leporidae,genus Oryctolagus,species Oryctolagus cuniculus
7952072,hare,class Mammalia,order Lagomorpha,family Leporidae,genus Lepus,species Lepus europaeus
5219616,hedgehog,class Mammalia,order Erinaceomorpha,family Erinaceidae,genus Erinaceus,species Erinaceus europaeus
2440254,possum,class Mammalia,order Diprotodontia,family Phalangeridae,genus Trichosurus,species Trichosurus vulpecula
9589697,wallaby,class Mammalia,order Diprotodontia,family Macropodidae,genus Notamacropus,species Notamacropus rufogriseus
2433467,sealion,class Mammalia,order Carnivora,family Otariidae,genus Phocarctos,species Phocarctos hookeri
5218987,weasel,class Mammalia,order Carnivora,family Mustelidae,genus Mustela,species Mustela nivalis
5816581,ferret,class Mammalia,order Carnivora,family Mustelidae,genus Mustela,species Mustela furo
5219019,stoat,class Mammalia,order Carnivora,family Mustelidae,genus Mustela,species Mustela erminea
2435035,cat,class Mammalia,order Carnivora,family Felidae,genus Felis,species Felis catus
5219200,dog,class Mammalia,order Carnivora,family Canidae,genus Canis,species Canis familiaris
7705930,pig,class Mammalia,order Artiodactyla,family Suidae,genus Sus,species Sus scrofa
2440958,deer,class Mammalia,order Artiodactyla,family Cervidae,genus Cervus,species Cervus elaphus
5220170,chamois,class Mammalia,order Artiodactyla,family Bovidae,genus Rupicapra,species Rupicapra rupicapra
2441110,sheep,class Mammalia,order Artiodactyla,family Bovidae,genus Ovis,species Ovis aries
5220174,tahr,class Mammalia,order Artiodactyla,family Bovidae,genus Hemitragus,species Hemitragus jemlahicus
2441056,goat,class Mammalia,order Artiodactyla,family Bovidae,genus Capra,species Capra hircus
2441022,cow,class Mammalia,order Artiodactyla,family Bovidae,genus Bos,species Bos taurus
2497817,morepork,class Aves,order Strigiformes,family Strigidae,genus Ninox,species Ninox novaeseelandiae
2481632,yellow_eyed_penguin,class Aves,order Sphenisciformes,family Spheniscidae,genus Megadyptes,species Megadyptes antipodes
2481646,little_blue_penguin,class Aves,order Sphenisciformes,family Spheniscidae,genus Eudyptula,species Eudyptula minor
2481634,fiordland_crested_penguin,class Aves,order Sphenisciformes,family Spheniscidae,genus Eudyptes,species Eudyptes pachyrhynchus
2479329,rosella,class Aves,order Psittaciformes,family Psittacidae,genus Platycercus,species Platycercus eximius
2479593,kea,class Aves,order Psittaciformes,family Psittacidae,genus Nestor,species Nestor notabilis
2479594,kaka,class Aves,order Psittaciformes,family Psittacidae,genus Nestor,species Nestor meridionalis
5229110,parakeet,class Aves,order Psittaciformes,family Psittacidae,genus Cyanoramphus,species Cyanoramphus novaezelandiae
2480897,white_faced_heron,class Aves,order Pelecaniformes,family Ardeidae,genus Egretta,species Egretta novaehollandiae
2489396,silvereye,class Aves,order Passeriformes,family Zosteropidae,genus Zosterops,species Zosterops lateralis
