ID,Code,Species,Common
0,andean bear,Tremarctos ornatus,Andean bear
1,andean fox,Lycalopex culpaeus,Culpeo
2,andean guan,Penelope montagnii,Andean guan
3,andean white-eared opossum,Didelphis pernigra, Andean white-eared opossum 
4,black agouti,Dasyprocta fuliginosa,Black agouti
5,bolivian squirrel,Sciurus ignitus,Bolivian squirrel
6,brown agouti,Dasyprocta variegata,Brown agouti
7,bush dog,Speothos venaticus,Bush dog
8,collared peccary,Pecari tajacu,Collared peccary
9,common opossum,Didelphis marsupialis,Common opossum
10,cow,Bos taurus,Cow
11,domestic dog,Canis lupus familiaris,Dog
12,dwarf brocket deer,Mazama chunyi,Dwarf brocket deer
13,empty,Empty,Empty
14,forest rabbit,Sylvilagus brasiliensis,Forest rabbit
15,giant anteater,Myrmecophaga tridactyla,Giant anteater
16,giant armadillo,Priodontes maximus,Giant armadillo
17,grison,Galictis vittata,Grison
18,highland coati,Nasuella olivacea,Highland coati
19,human,Homo sapiens ,Human
20,jaguar,Panthera onca,Jaguar
21,jaguarundi,Puma yagouaroundi,Jaguarundi
22,little red brocket deer,Mazama rufina,Little red brocket deer
23,long-nosed armadillo,Dasypus hybridus,Long-nosed armadillo 
24,long-tailed weasel,Mustela frenata,Long-tailed weasel
25,lowland paca,Cuniculus paca,Lowland paca
26,lowland tapir,Tapirus terrestris,Lowland tapir
27,margay,Leopardus wiedii,Margay
28,molinas hog-nosed skunk,Conepatus chinga,Molina’s hog-nosed skunk
29,mountain paca,Cuniculus taczanowskii,Mountain paca
30,mountain tapir,Tapirus pinchaque,Mountain tapir 
31,northern pudu,Pudu mephistophiles,Northern pudu
32,ocelot,Leopardus pardalis,Ocelot
33,oncilla,Leopardus tigrinus,Oncilla
34,other opossum,Didelphis spp.,Opossum
35,pacarana,Dinomys branickii,Pacarana
36,pale-winged trumpeter,Psophia leucoptera,Pale-winged trumpeter
37,puma,Puma concolor,Puma
38,razor-billed curassow,Mitu tuberosum,Razor-billed curassow
39,red brocket deer,Mazama americana,Red brocket deer
40,reptile,Reptilia,Reptile
41,short-eared dog,Atelocynus microtis,Short-eared dog
42,sickle-winged guan,Chamaepetes goudotii,Sickle-winged guan
43,small mammal,Mammalia,Other Mammal
44,south american coati,Nasua nasua,South American coati
45,southern naked-tailed armadillo,Cabassous unicinctus,Southern naked-tailed armadillo
46,spixs guan,Penelope jacquacu,Spix's guan
47,tamandua,Tamandua spp.,Tamandua
48,tayra,Eira barbara,Tayra
49,tinamou,Tinamidae spp.,Tinamou
50,unknown bird,Aves,Unknown Bird
51,white-lipped peccary,Tayassu pecari,White-lipped peccary 
52,white-tailed deer,Odocoileus virginianus,White-tailed deer
